timestamp,load_kw,wet_bulb_c,duration_hours
2026-07-01T00:00:00,0,22,1
2026-07-01T01:00:00,0,22,1
2026-07-01T02:00:00,0,22,1
2026-07-01T03:00:00,0,22,1
2026-07-01T04:00:00,0,22,1
2026-07-01T05:00:00,600,22,1
2026-07-01T06:00:00,1000,22.5,1
2026-07-01T07:00:00,1400,23,1
2026-07-01T08:00:00,1800,23.5,1
2026-07-01T09:00:00,2200,24,1
2026-07-01T10:00:00,2500,24.5,1
2026-07-01T11:00:00,2600,25,1
2026-07-01T12:00:00,2400,25,1
2026-07-01T13:00:00,2600,25,1
2026-07-01T14:00:00,2800,25,1
2026-07-01T15:00:00,2700,25,1
2026-07-01T16:00:00,2500,24.5,1
2026-07-01T17:00:00,2200,24,1
2026-07-01T18:00:00,1800,23.5,1
2026-07-01T19:00:00,1400,23,1
2026-07-01T20:00:00,1000,22.5,1
2026-07-01T21:00:00,600,22,1
2026-07-01T22:00:00,0,22,1
2026-07-01T23:00:00,0,22,1
